|0
0|000
1|09
2|10
3|20
4|2014
5|2016
6|2017
7|30
8|abierto
9|able
10|about
11|acción
12|actividad
13|activity
14|actual
15|after
16|aggregated
17|ai
18|algorithm
19|algorithms
20|algoritmo
21|algoritmos
22|all
23|also
24|alta
25|amazon
26|an
27|analysis
28|analytics
29|analítica
30|and
31|any
32|análisis
33|apache
34|api
35|aplicaciones
36|aplicación
37|applications
38|approach
39|aprender
40|aprendizaje
41|are
42|artificial
43|artículo
44|as
45|at
46|atributos
47|automático
48|avances
49|average
50|ayudar
51|año
52|años
53|baja
54|banco
55|bancomer
56|bank
57|barcelona
58|basada
59|basadas
60|basados
61|base
62|based
63|bbva
64|be
65|been
66|before
67|behavior
68|behaviors
69|being
70|best
71|better
72|between
73|big
74|both
75|business
76|businesses
77|but
78|by
79|camino
80|campo
81|can
82|cantidad
83|capacidad
84|características
85|card
86|caso
87|casos
88|change
89|charla
90|ciencia
91|científico
92|científicos
93|ciudad
94|ciudades
95|clasificación
96|clave
97|client
98|cliente
99|clientes
100|clients
101|comercial
102|commerce360
103|common
104|companies
105|comportamiento
106|comunidad
107|común
108|concepto
109|conceptos
110|conferencia
111|confianza
112|conjunto
113|conjuntos
114|conocimiento
115|construir
116|consumo
117|contexto
118|could
119|creado
120|crear
121|create
122|crédito
123|cursos
124|customer
125|customers
126|código
127|data
128|datos
129|day
130|debate
131|decisiones
132|deep
133|desarrollar
134|desarrollo
135|design
136|development
137|different
138|digital
139|diseño
140|do
141|does
142|dr
143|driven
144|each
145|economic
146|ejemplos
147|embedding
148|embeddings
149|empresa
150|empresas
151|encontrar
152|enfoque
153|entender
154|entorno
155|entrenamiento
156|equidad
157|equipo
158|espacio
159|especialmente
160|estudio
161|etc
162|even
163|event
164|every
165|example
166|experience
167|experiences
168|experiencia
169|feedback
170|few
171|fiction
172|financial
173|financiera
174|financiero
175|first
176|for
177|forma
178|formación
179|from
180|fuentes
181|funciones
182|función
183|future
184|futuro
185|gasto
186|gastos
187|gestión
188|get
189|global
190|good
191|google
192|gpu
193|group
194|grupo
195|had
196|has
197|have
198|help
199|here
200|herramienta
201|herramientas
202|high
203|historia
204|hive
205|hora
206|how
207|human
208|hurricane
209|ia
210|ideas
211|identificar
212|if
213|impacto
214|importancia
215|importante
216|improve
217|imágenes
218|in
219|incertidumbre
220|industria
221|industry
222|información
223|information
224|innovación
225|innovation
226|insights
227|instance
228|inteligencia
229|intelligence
230|interacción
231|into
232|investigación
233|is
234|it
235|its
236|juan
237|just
238|knowledge
239|large
240|learn
241|learning
242|level
243|like
244|línea
245|machine
246|made
247|madrid
248|make
249|many
250|marco
251|matriz
252|mayoría
253|means
254|measure
255|medida
256|medir
257|mejorar
258|mejores
259|memory
260|methods
261|metodología
262|metrics
263|mexico
264|might
265|millones
266|ml
267|model
268|modelo
269|modelos
270|models
271|more
272|most
273|much
274|muestra
275|mundo
276|my
277|máquinas
278|método
279|métodos
280|méxico
281|natural
282|necesidad
283|necesidades
284|need
285|needs
286|negocio
287|networks
288|neural
289|neuronales
290|new
291|next
292|nivel
293|not
294|now
295|number
296|número
297|objetivo
298|obtener
299|of
300|often
301|on
302|one
303|online
304|only
305|open
306|opportunities
307|optimización
308|or
309|order
310|organization
311|organizations
312|other
313|our
314|out
315|over
316|palabras
317|part
318|particular
319|patrones
320|people
321|permite
322|personal
323|personas
324|política
325|posibles
326|possible
327|potential
328|practice
329|precios
330|predicciones
331|predicción
332|prediction
333|principal
334|principales
335|privacidad
336|problem
337|problema
338|problemas
339|procesamiento
340|proceso
341|procesos
342|process
343|product
344|producto
345|productos
346|profundo
347|programa
348|project
349|proporcionar
350|provide
351|proyecto
352|proyectos
353|prácticas
354|public
355|puedes
356|punto
357|puntos
358|questions
359|real
360|recomendaciones
361|recomendación
362|recommendations
363|recsys
364|red
365|redes
366|refuerzo
367|rendimiento
368|representación
369|research
370|resultado
371|resultados
372|results
373|riesgo
374|right
375|science
376|scientists
377|sector
378|sectur
379|see
380|series
381|service
382|services
383|servicios
384|set
385|short
386|should
387|similar
388|since
389|sistema
390|sistemas
391|size
392|small
393|so
394|social
395|sociedad
396|software
397|soluciones
398|solución
399|some
400|spain
401|spark
402|statistics
403|such
404|systems
405|tales
406|tamaño
407|tareas
408|tarjetas
409|task
410|team
411|technologies
412|technology
413|tecnologías
414|temas
415|temporales
416|tensorflow
417|texto
418|than
419|that
420|the
421|their
422|them
423|then
424|there
425|these
426|they
427|things
428|this
429|those
430|through
431|time
432|tipo
433|to
434|today
435|tomar
436|tourism
437|transacciones
438|transactions
439|transparencia
440|type
441|técnica
442|técnicas
443|understand
444|understanding
445|universidad
446|up
447|us
448|usando
449|use
450|used
451|user
452|users
453|using
454|usuario
455|usuarios
456|utilizado
457|utilizan
458|utilizando
459|utilizar
460|value
461|variables
462|vector
463|vectores
464|very
465|vida
466|vision
467|visions
468|visión
469|vista
470|visualization
471|was
472|way
473|we
474|web
475|well
476|were
477|what
478|when
479|where
480|which
481|while
482|who
483|will
484|with
485|within
486|word2vec
487|work
488|working
489|world
490|would
491|year
492|years
493|you
494|your
495|zona
496|zonas
497|área
498|áreas
499|éxito
